"...","..."
"Browse Files...","Parcourir les fichiers..."
"Complete","Est terminé"
"Maximum allowed file size for upload is","La taille de fichier maximale autorisée pour le téléchargement est"
"Please check your server PHP settings.","Veuillez vérifier les paramètres PHP de votre serveur."
"Remove","Retirer"
"There are files that were selected but not uploaded yet. After switching to another tab your selections will be lost. Do you wish to continue ?","There are files that were selected but not uploaded yet. After switching to another tab your selections will be lost. Do you wish to continue ?"
"Upload Files","Télécharger des fichiers"
"Uploading...","Téléchargement..."
